"","time","cod","trel"
"770",128940,35.9500007629395,-6.18333333333333
"771",129000,34.9599990844727,-6.16666666666667
"772",129060,34.7200012207031,-6.15
"773",129120,35.8899993896484,-6.13333333333333
"774",129180,39.4300003051758,-6.11666666666667
"775",129240,72.8499984741211,-6.1
"776",129300,90.4899978637695,-6.08333333333333
"777",129360,119.129997253418,-6.06666666666667
"778",129420,104.059997558594,-6.05
"779",129480,51.3300018310547,-6.03333333333333
"780",129540,39.1199989318848,-6.01666666666667
"781",129600,33.5499992370605,-6
"782",129660,29.8799991607666,-5.98333333333333
"783",129720,27.1299991607666,-5.96666666666667
"784",129780,25.5300006866455,-5.95
"785",129840,26.0400009155273,-5.93333333333333
"786",129900,26.3199996948242,-5.91666666666667
"787",129960,26.5200004577637,-5.9
"788",130020,27.7399997711182,-5.88333333333333
"789",130080,45.939998626709,-5.86666666666667
"790",130140,53.4099998474121,-5.85
"791",130200,63.5900001525879,-5.83333333333333
"792",130260,68.9499969482422,-5.81666666666667
"793",130320,72.7799987792969,-5.8
"794",130380,75.7200012207031,-5.78333333333333
"795",130440,50.3899993896484,-5.76666666666667
"796",130500,54.1300010681152,-5.75
"797",130560,58.5699996948242,-5.73333333333333
"798",130620,97.7699966430664,-5.71666666666667
"799",130680,111.629997253418,-5.7
"800",130740,128.649993896484,-5.68333333333333
"801",130800,148.580001831055,-5.66666666666667
"802",130860,178.899993896484,-5.65
"803",130920,241.860000610352,-5.63333333333333
"804",130980,277.700012207031,-5.61666666666667
"805",131040,305.190002441406,-5.6
"806",131100,350.829986572266,-5.58333333333333
"807",131160,358.779998779297,-5.56666666666667
"808",131220,125.919998168945,-5.55
